StockCode,MAE,MAPE,R2,Uncertainty
23843,2699.83,3.33,-0.0345,1.0
23166,29.26,562.8,-0.1151,3336.1576
22197,642.07,453.61,-2.2831,123.242
84077,375.37,6601.15,-34.4882,172.1333
85099B,132.17,252.8,0.0654,99.4854
85123A,115.83,1126.93,-0.9003,93.1138
84879,232.48,504.58,-7.1054,65.8317
21212,81.26,1513.99,-3.5972,89.1283
23084,366.48,4555.96,-0.232,58.5592
22492,83.56,1038.34,0.0054,79.3988
22616,140.08,2739.53,-0.2532,118.8101
21977,52.03,479.94,-0.4828,89.4802
22178,57.97,209.55,-0.0429,47.7187
15036,65.17,2533.64,-9.2143,85.914
17003,47.53,1168.5,-0.4779,117.8148
