Date,StockCode,Quantity,DayOfWeek,Month,IsWeekend,Demand,Lag_7,Lag_14,Rolling_Mean_7,Rolling_Std_7
2010-12-15,23843,0.0,2,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-16,23843,0.0,3,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-17,23843,0.0,4,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-18,23843,0.0,5,12,1,0.0,0.0,0.0,0.0,0.0
2010-12-19,23843,0.0,6,12,1,0.0,0.0,0.0,0.0,0.0
2010-12-20,23843,0.0,0,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-21,23843,0.0,1,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-22,23843,0.0,2,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-23,23843,0.0,3,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-24,23843,0.0,4,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-25,23843,0.0,5,12,1,0.0,0.0,0.0,0.0,0.0
2010-12-26,23843,0.0,6,12,1,0.0,0.0,0.0,0.0,0.0
2010-12-27,23843,0.0,0,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-28,23843,0.0,1,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-29,23843,0.0,2,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-30,23843,0.0,3,12,0,0.0,0.0,0.0,0.0,0.0
2010-12-31,23843,0.0,4,12,0,0.0,0.0,0.0,0.0,0.0
2011-01-01,23843,0.0,5,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-02,23843,0.0,6,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-03,23843,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-04,23843,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-05,23843,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-06,23843,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-07,23843,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-08,23843,0.0,5,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-09,23843,0.0,6,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-10,23843,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-11,23843,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-12,23843,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-13,23843,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-14,23843,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-15,23843,0.0,5,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-16,23843,0.0,6,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-17,23843,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-18,23843,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-19,23843,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-20,23843,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-21,23843,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-22,23843,0.0,5,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-23,23843,0.0,6,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-24,23843,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-25,23843,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-26,23843,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-27,23843,0.0,3,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-28,23843,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0
2011-01-29,23843,0.0,5,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-30,23843,0.0,6,1,1,0.0,0.0,0.0,0.0,0.0
2011-01-31,23843,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0
2011-02-01,23843,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-02,23843,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-03,23843,0.0,3,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-04,23843,0.0,4,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-05,23843,0.0,5,2,1,0.0,0.0,0.0,0.0,0.0
2011-02-06,23843,0.0,6,2,1,0.0,0.0,0.0,0.0,0.0
2011-02-07,23843,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-08,23843,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-09,23843,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-10,23843,0.0,3,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-11,23843,0.0,4,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-12,23843,0.0,5,2,1,0.0,0.0,0.0,0.0,0.0
2011-02-13,23843,0.0,6,2,1,0.0,0.0,0.0,0.0,0.0
2011-02-14,23843,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-15,23843,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-16,23843,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-17,23843,0.0,3,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-18,23843,0.0,4,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-19,23843,0.0,5,2,1,0.0,0.0,0.0,0.0,0.0
2011-02-20,23843,0.0,6,2,1,0.0,0.0,0.0,0.0,0.0
2011-02-21,23843,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-22,23843,0.0,1,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-23,23843,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-24,23843,0.0,3,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-25,23843,0.0,4,2,0,0.0,0.0,0.0,0.0,0.0
2011-02-26,23843,0.0,5,2,1,0.0,0.0,0.0,0.0,0.0
2011-02-27,23843,0.0,6,2,1,0.0,0.0,0.0,0.0,0.0
2011-02-28,23843,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0
2011-03-01,23843,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-02,23843,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-03,23843,0.0,3,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-04,23843,0.0,4,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-05,23843,0.0,5,3,1,0.0,0.0,0.0,0.0,0.0
2011-03-06,23843,0.0,6,3,1,0.0,0.0,0.0,0.0,0.0
2011-03-07,23843,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-08,23843,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-09,23843,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-10,23843,0.0,3,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-11,23843,0.0,4,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-12,23843,0.0,5,3,1,0.0,0.0,0.0,0.0,0.0
2011-03-13,23843,0.0,6,3,1,0.0,0.0,0.0,0.0,0.0
2011-03-14,23843,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-15,23843,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-16,23843,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-17,23843,0.0,3,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-18,23843,0.0,4,3,0,0.0,0.0,0.0,0.0,0.0
2011-03-19,23843,0.0,5,3,1,0.0,0.0,0.0,0.0,0.0
2011-03-20,23843,0.0,6,3,1,0.0,0.0,0.0,0.0,0.0
2011-03-21,23843,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0
